0.579   TIME(s) COMM             PID     PPID    RET ARGS
45.265  nice             74230   2381      0 /usr/bin/nice -n 19 ionice -c3 gdbus call --system --dest org.freedesktop.NetworkManager --object-path /org/freedesktop/NetworkManager/Devices/3 --method org.freedesktop.DBus.Properties.Get org.freedesktop.NetworkManager.Device State
45.265  ionice           74230   2381      0 /usr/bin/ionice -c3 gdbus call --system --dest org.freedesktop.NetworkManager --object-path /org/freedesktop/NetworkManager/Devices/3 --method org.freedesktop.DBus.Properties.Get org.freedesktop.NetworkManager.Device State
45.266  gdbus            74230   2381      0 /usr/bin/gdbus call --system --dest org.freedesktop.NetworkManager --object-path /org/freedesktop/NetworkManager/Devices/3 --method org.freedesktop.DBus.Properties.Get org.freedesktop.NetworkManager.Device State
45.267  nice             74237   2381      0 /usr/bin/nice -n 19 ionice -c3 ip -4 addr show wlp8s0
45.267  nice             74238   2381      0 /usr/bin/nice -n 19 ionice -c3 nmcli -t -f IN-USE,SIGNAL,SSID device wifi list ifname wlp8s0
45.267  ionice           74237   2381      0 /usr/bin/ionice -c3 ip -4 addr show wlp8s0
45.267  ionice           74238   2381      0 /usr/bin/ionice -c3 nmcli -t -f IN-USE,SIGNAL,SSID device wifi list ifname wlp8s0
45.267  ip               74237   2381      0 /usr/bin/ip -4 addr show wlp8s0
45.268  nmcli            74238   2381      0 /usr/bin/nmcli -t -f IN-USE,SIGNAL,SSID device wifi list ifname wlp8s0
50.368  nice             74243   2381      0 /usr/bin/nice -n 19 ionice -c3 gdbus call --system --dest org.freedesktop.NetworkManager --object-path /org/freedesktop/NetworkManager --method org.freedesktop.DBus.Properties.Get org.freedesktop.NetworkManager PrimaryConnection
50.368  nice             74244   2381      0 /usr/bin/nice -n 19 ionice -c3 nmcli -t -f DEVICE,TYPE device
50.368  nice             74246   2381      0 /usr/bin/nice -n 19 ionice -c3 nmcli -t -f UUID,TYPE,DEVICE,STATE connection show --active
50.368  nice             74245   2381      0 /usr/bin/nice -n 19 ionice -c3 nmcli -t -f DEVICE,TYPE device
50.368  ionice           74243   2381      0 /usr/bin/ionice -c3 gdbus call --system --dest org.freedesktop.NetworkManager --object-path /org/freedesktop/NetworkManager --method org.freedesktop.DBus.Properties.Get org.freedesktop.NetworkManager PrimaryConnection
